CustomerID,Frequency,LastPurchase,Monetary,Recency,Segment
CUST01068,2,2024-04-27,155,248,Low Value
CUST01069,3,2024-12-25,720,6,Medium Value
CUST01070,1,2023-12-29,1400,368,Medium Value
CUST01071,1,2023-06-17,300,563,Low Value
CUST01072,3,2024-10-13,875,79,Medium Value
CUST01073,3,2024-12-30,910,1,Medium Value
CUST01074,9,2024-02-16,5625,319,High Value
CUST01075,3,2023-06-26,11000,554,Medium Value
CUST01076,4,2024-12-29,1845,2,Medium Value
CUST01077,3,2024-08-28,1400,125,Medium Value
CUST01078,2,2022-01-29,400,1067,Low Value
CUST01079,4,2024-08-20,705,133,Medium Value
CUST01080,1,2023-05-19,150,592,Low Value
CUST01081,6,2024-07-16,10650,168,High Value
CUST01082,3,2024-11-28,5300,33,Medium Value
CUST01083,5,2024-02-28,1185,307,Medium Value
CUST01084,4,2024-02-17,1700,318,Medium Value
CUST01085,3,2023-12-16,1960,381,Medium Value
CUST01086,3,2023-10-27,1145,431,Medium Value
CUST01087,4,2024-07-28,1310,156,Medium Value
CUST01088,3,2023-12-13,685,384,Medium Value
CUST01089,2,2024-09-16,1500,106,Medium Value
CUST01091,1,2023-05-07,60,604,Low Value
CUST01092,3,2024-12-02,750,29,Medium Value
CUST01093,1,2022-05-26,110,950,Low Value
CUST01094,3,2024-11-29,310,32,Medium Value
CUST01095,3,2024-02-12,2310,323,Medium Value
CUST01096,3,2024-12-01,4210,30,Medium Value
CUST01097,1,2022-05-30,900,946,Low Value
CUST01098,3,2024-02-07,4315,328,Medium Value
CUST01099,3,2024-08-19,635,134,Medium Value
CUST01100,1,2024-05-03,225,242,Low Value
CUST01102,2,2024-12-06,295,25,Low Value
CUST01103,3,2024-04-14,910,261,Medium Value
CUST01104,3,2024-07-13,595,171,Medium Value
CUST01105,6,2024-09-27,7810,95,High Value
CUST01106,3,2022-12-23,1775,739,Medium Value
CUST01107,3,2023-07-15,355,535,Medium Value
CUST01108,2,2022-11-03,405,789,Low Value
CUST01109,3,2024-09-27,525,95,Medium Value
CUST01110,5,2024-12-29,1475,2,Medium Value
CUST01111,2,2023-04-19,135,622,Low Value
CUST01112,5,2024-04-15,515,260,Medium Value
CUST01113,4,2024-08-02,970,151,Medium Value
CUST01114,3,2024-10-28,575,64,Medium Value
CUST01115,1,2024-01-11,600,355,Low Value
CUST01117,1,2023-09-16,1600,472,Medium Value
CUST01118,4,2024-08-03,6085,150,Medium Value
CUST01119,4,2024-07-30,3490,154,Medium Value
CUST01120,2,2024-11-13,280,48,Low Value
CUST01121,4,2024-07-31,590,153,Medium Value
CUST01122,1,2024-07-31,2400,153,Medium Value
CUST01124,1,2024-12-18,50,13,Low Value
CUST01125,3,2024-07-30,295,154,Medium Value
CUST01126,3,2023-02-25,390,675,Medium Value
CUST01127,5,2023-12-21,1480,376,Medium Value
CUST01128,4,2023-06-19,1295,561,Medium Value
CUST01129,3,2024-05-10,1270,235,Medium Value
CUST01131,4,2024-06-14,640,200,Medium Value
CUST01132,1,2022-10-25,75,798,Low Value
CUST01133,3,2023-08-20,2015,499,Medium Value
CUST01134,2,2022-08-09,775,875,Low Value
CUST01135,1,2022-10-15,1750,808,Medium Value
CUST01136,3,2024-04-27,4780,248,Medium Value
CUST01137,4,2024-01-22,2690,344,Medium Value
CUST01138,2,2024-09-02,280,120,Low Value
CUST01139,5,2024-03-01,950,305,Medium Value
CUST01140,2,2024-09-11,210,111,Low Value
CUST01141,3,2023-10-10,1780,448,Medium Value
CUST01142,1,2023-07-19,100,531,Low Value
CUST01143,2,2024-07-27,180,157,Low Value
CUST01144,3,2023-12-19,480,378,Medium Value
CUST01145,3,2023-06-10,230,570,Medium Value
CUST01146,2,2024-10-31,1635,61,Medium Value
CUST01147,4,2023-08-20,610,499,Medium Value
CUST01148,1,2023-02-05,160,695,Low Value
CUST01149,5,2023-01-07,1570,724,Medium Value
CUST01150,4,2023-03-12,670,660,Medium Value
CUST01151,1,2023-11-13,240,414,Low Value
CUST01152,5,2024-12-31,3020,0,High Value
CUST01153,2,2022-06-23,4400,922,Medium Value
CUST01154,3,2024-10-11,2095,81,Medium Value
CUST01155,4,2024-10-24,4385,68,Medium Value
CUST01156,4,2023-03-01,1460,671,Medium Value
CUST01157,3,2024-09-19,1220,103,Medium Value
CUST01158,5,2024-05-29,3470,216,High Value
CUST01159,4,2024-08-20,1090,133,Medium Value
CUST01160,3,2024-12-16,5260,15,Medium Value
CUST01161,5,2023-06-23,8710,557,High Value
CUST01162,1,2022-05-13,105,963,Low Value
CUST01163,3,2023-07-27,1115,523,Medium Value
CUST01165,4,2024-07-30,2730,154,Medium Value
CUST01166,3,2024-08-01,1200,152,Medium Value
CUST01167,4,2024-10-10,685,82,Medium Value
CUST01168,1,2023-08-18,320,501,Low Value
CUST01169,3,2024-10-05,535,87,Medium Value
CUST01170,1,2024-11-19,135,42,Low Value
CUST01171,8,2024-08-20,7180,133,High Value
CUST01173,3,2024-11-07,1590,54,Medium Value
CUST01174,3,2024-01-17,1945,349,Medium Value
CUST01175,5,2023-09-11,3450,477,High Value
CUST01176,4,2024-10-11,2785,81,Medium Value
CUST01177,5,2024-09-07,2525,115,Medium Value
CUST01178,2,2024-03-16,660,290,Low Value
CUST01179,3,2024-11-19,265,42,Medium Value
CUST01180,3,2024-05-24,1910,221,Medium Value
CUST01181,3,2024-02-10,1135,325,Medium Value
CUST01182,2,2022-12-14,6100,748,Medium Value
CUST01184,6,2024-04-26,2660,249,Medium Value
CUST01185,4,2022-08-09,1120,875,Medium Value
CUST01186,6,2024-11-29,4400,32,High Value
CUST01187,3,2022-09-30,625,823,Medium Value
CUST01188,4,2024-10-17,3010,75,Medium Value
CUST01189,6,2024-11-17,8205,44,High Value
CUST01190,2,2024-04-14,810,261,Low Value
CUST01191,2,2022-09-27,740,826,Low Value
CUST01192,2,2024-10-12,570,80,Low Value
CUST01193,5,2024-02-16,4125,319,High Value
CUST01194,1,2023-01-06,70,725,Low Value
CUST01195,4,2023-12-28,605,369,Medium Value
CUST01196,2,2024-06-02,2050,212,Medium Value
CUST01197,1,2022-05-15,2000,961,Medium Value
CUST01198,3,2023-12-05,5000,392,Medium Value
CUST01199,3,2023-11-27,1125,400,Medium Value
CUST01200,5,2024-06-14,1570,200,Medium Value
CUST01201,5,2023-12-25,1485,372,Medium Value
CUST01202,4,2024-10-13,3430,79,Medium Value
CUST01203,1,2024-03-02,110,304,Low Value
CUST01204,4,2024-09-04,1890,118,Medium Value
CUST01205,3,2023-06-30,4970,550,Medium Value
CUST01206,3,2024-08-20,270,133,Medium Value
CUST01207,4,2024-07-23,7685,161,Medium Value
CUST01208,5,2024-08-14,2280,139,Medium Value
CUST01209,1,2023-09-29,140,459,Low Value
CUST01210,3,2024-10-20,6590,72,Medium Value
CUST01211,7,2024-08-29,4635,124,High Value
CUST01212,2,2023-11-09,235,418,Low Value
CUST01213,4,2023-12-29,7010,368,Medium Value
CUST01214,5,2024-10-10,5965,82,High Value
CUST01215,4,2024-12-26,5340,5,Medium Value
CUST01216,2,2024-08-11,255,142,Low Value
CUST01217,3,2024-06-20,5250,194,Medium Value
CUST01218,2,2023-09-28,455,460,Low Value
CUST01219,5,2023-10-27,1050,431,Medium Value
CUST01220,4,2024-09-05,865,117,Medium Value
CUST01221,5,2024-11-21,1740,40,Medium Value
CUST01222,2,2024-09-19,380,103,Low Value
CUST01223,7,2023-11-13,4230,414,High Value
CUST01224,4,2024-08-27,895,126,Medium Value
CUST01226,5,2024-10-26,2780,66,High Value
CUST01227,2,2024-08-04,225,149,Low Value
CUST01228,3,2024-08-06,2800,147,Medium Value
CUST01229,5,2024-11-13,2095,48,Medium Value
CUST01230,1,2022-09-07,60,846,Low Value
CUST01231,3,2023-08-11,1565,508,Medium Value
CUST01232,4,2024-10-05,3770,87,Medium Value
CUST01233,2,2024-08-15,260,138,Low Value
CUST01234,3,2024-03-27,560,279,Medium Value
CUST01235,1,2023-12-20,100,377,Low Value
CUST01236,3,2024-09-16,845,106,Medium Value
CUST01237,3,2024-09-26,630,96,Medium Value
CUST01238,4,2024-11-21,4690,40,Medium Value
CUST01239,3,2024-01-26,1020,340,Medium Value
CUST01240,6,2024-04-01,1765,274,Medium Value
CUST01241,2,2023-04-22,245,619,Low Value
CUST01242,4,2024-04-22,1470,253,Medium Value
CUST01243,2,2023-01-19,1560,712,Medium Value
CUST01244,3,2022-05-08,1090,968,Medium Value
CUST01245,4,2024-01-15,1545,351,Medium Value
CUST01246,3,2023-03-22,2255,650,Medium Value
CUST01247,4,2024-05-14,1520,231,Medium Value
CUST01248,4,2024-08-03,5445,150,Medium Value
CUST01249,5,2024-10-07,1780,85,Medium Value
CUST01250,2,2024-07-01,840,183,Low Value
CUST01251,4,2024-10-09,865,83,Medium Value
CUST01252,2,2024-08-07,900,146,Low Value
CUST01253,2,2022-09-19,2635,834,Medium Value
CUST01254,2,2024-08-02,345,151,Low Value
CUST01255,4,2024-07-26,3190,158,Medium Value
CUST01256,2,2024-03-10,825,296,Low Value
CUST01257,3,2024-11-16,1525,45,Medium Value
CUST01258,2,2024-08-27,1675,126,Medium Value
CUST01259,5,2024-12-08,4345,23,High Value
CUST01260,8,2024-02-24,7980,311,High Value
CUST01261,1,2023-11-11,240,416,Low Value
CUST01262,1,2024-11-01,600,60,Low Value
CUST01263,5,2024-03-03,2085,303,Medium Value
CUST01264,4,2024-10-30,6160,62,Medium Value
CUST01265,6,2024-08-21,5175,132,High Value
CUST01266,5,2024-12-27,1485,4,Medium Value
CUST01267,6,2024-06-01,2980,213,High Value
CUST01268,5,2024-06-04,1670,210,Medium Value
CUST01269,3,2024-09-13,815,109,Medium Value
CUST01270,9,2024-12-29,4630,2,High Value
CUST01271,5,2024-09-17,860,105,Medium Value
CUST01272,4,2023-11-22,1985,405,Medium Value
CUST01273,6,2023-09-25,4065,463,High Value
CUST01274,4,2024-08-29,7280,124,Medium Value
CUST01275,4,2024-06-08,250,206,Medium Value
CUST01276,2,2024-04-06,1850,269,Medium Value
CUST01277,2,2024-05-16,225,229,Low Value
CUST01278,1,2022-01-23,250,1073,Low Value
CUST01279,2,2024-08-02,5020,151,Medium Value
CUST01280,2,2023-06-26,150,554,Low Value
CUST01281,2,2023-12-16,805,381,Low Value
CUST01282,1,2024-02-03,1750,332,Medium Value
CUST01283,3,2023-12-15,1640,382,Medium Value
CUST01284,3,2024-06-21,635,193,Medium Value
CUST01285,6,2024-06-28,12495,186,High Value
CUST01286,1,2022-03-20,100,1017,Low Value
CUST01287,2,2024-05-21,340,224,Low Value
CUST01288,4,2023-04-07,9185,634,Medium Value
CUST01289,3,2024-05-05,515,240,Medium Value
CUST01290,2,2023-09-08,3270,480,Medium Value
CUST01291,2,2024-01-25,2480,341,Medium Value
CUST01292,4,2024-11-14,850,47,Medium Value
CUST01293,3,2024-04-07,11200,268,Medium Value
CUST01294,3,2024-05-20,1370,225,Medium Value
CUST01295,3,2024-06-10,2590,204,Medium Value
CUST01296,2,2024-06-25,145,189,Low Value
CUST01297,3,2023-10-26,2425,432,Medium Value
CUST01298,2,2023-04-30,420,611,Low Value
CUST01299,3,2023-05-21,2920,590,Medium Value
CUST01300,1,2022-07-24,330,891,Low Value
CUST01301,4,2024-11-04,660,57,Medium Value
CUST01302,1,2023-11-20,90,407,Low Value
CUST01303,1,2023-01-08,4000,723,Medium Value
CUST01304,6,2024-12-10,1240,21,Medium Value
CUST01305,3,2024-12-28,3060,3,Medium Value
CUST01306,1,2024-09-24,450,98,Low Value
CUST01307,5,2024-09-06,5140,116,High Value
CUST01308,7,2024-11-24,7680,37,High Value
CUST01309,1,2023-01-27,800,704,Low Value
CUST01310,3,2024-07-10,710,174,Medium Value
CUST01311,3,2024-02-29,2535,306,Medium Value
CUST01312,5,2024-09-23,3035,99,High Value
CUST01313,3,2024-04-24,3620,251,Medium Value
CUST01314,6,2024-08-04,2080,149,Medium Value
CUST01315,4,2024-06-05,865,209,Medium Value
CUST01316,2,2024-02-01,2640,334,Medium Value
CUST01317,3,2024-12-10,525,21,Medium Value
CUST01318,3,2023-07-02,550,548,Medium Value
CUST01319,1,2024-06-10,480,204,Low Value
CUST01320,3,2024-06-25,1815,189,Medium Value
CUST01321,3,2023-12-12,325,385,Medium Value
CUST01322,3,2024-11-08,1940,53,Medium Value
CUST01323,4,2024-03-23,3130,283,Medium Value
CUST01324,3,2024-06-14,290,200,Medium Value
CUST01325,1,2023-05-14,480,597,Low Value
CUST01326,2,2024-05-24,170,221,Low Value
CUST01327,5,2024-03-11,2325,295,Medium Value
CUST01328,5,2024-12-28,1780,3,Medium Value
CUST01329,5,2024-09-22,1660,100,Medium Value
CUST01330,3,2023-03-15,3570,657,Medium Value
CUST01331,3,2024-04-26,690,249,Medium Value
CUST01332,4,2024-06-29,950,185,Medium Value
CUST01333,3,2024-12-11,1175,20,Medium Value
CUST01334,3,2024-03-01,400,305,Medium Value
CUST01335,4,2024-11-19,2460,42,Medium Value
CUST01336,1,2023-07-26,60,524,Low Value
CUST01337,4,2024-11-14,1525,47,Medium Value
CUST01338,4,2024-12-05,3130,26,Medium Value
CUST01339,4,2024-09-23,7610,99,Medium Value
CUST01340,4,2024-04-24,1340,251,Medium Value
CUST01341,5,2024-06-06,2390,208,Medium Value
CUST01342,6,2024-11-13,3590,48,High Value
CUST01343,2,2024-06-05,285,209,Low Value
CUST01344,2,2023-04-06,2500,635,Medium Value
CUST01345,1,2023-12-28,140,369,Low Value
CUST01346,1,2022-10-06,250,817,Low Value
CUST01347,6,2023-08-09,830,510,Medium Value
CUST01348,6,2024-09-12,2510,110,Medium Value
CUST01349,5,2024-02-05,1150,330,Medium Value
CUST01350,2,2022-09-13,670,840,Low Value
CUST01351,4,2024-07-27,4590,157,Medium Value
CUST01352,5,2024-08-28,640,125,Medium Value
CUST01353,2,2023-04-07,2650,634,Medium Value
CUST01354,2,2024-04-18,1100,257,Low Value
CUST01355,3,2023-12-27,465,370,Medium Value
CUST01356,6,2024-08-04,1255,149,Medium Value
CUST01357,2,2024-07-01,1190,183,Low Value
CUST01358,2,2024-04-29,340,246,Low Value
CUST01359,3,2024-12-05,2650,26,Medium Value
CUST01360,2,2024-10-13,1635,79,Medium Value
CUST01361,4,2024-08-06,1425,147,Medium Value
CUST01362,2,2023-06-28,7200,552,Medium Value
CUST01363,2,2023-12-01,535,396,Low Value
CUST01364,4,2024-10-20,840,72,Medium Value
CUST01365,5,2024-02-24,6900,311,High Value
CUST01366,2,2023-04-11,1460,630,Medium Value
CUST01367,2,2023-07-20,425,530,Low Value
CUST01368,2,2023-11-10,3720,417,Medium Value
CUST01369,3,2024-07-20,230,164,Medium Value
CUST01370,1,2024-06-25,125,189,Low Value
CUST01371,4,2023-07-05,560,545,Medium Value
CUST01372,4,2024-09-28,670,94,Medium Value
CUST01373,4,2024-07-31,865,153,Medium Value
CUST01374,2,2024-12-06,345,25,Low Value
CUST01375,2,2023-08-20,330,499,Low Value
CUST01376,4,2023-05-26,1360,585,Medium Value
CUST01377,2,2024-11-22,1900,39,Medium Value
CUST01378,4,2022-11-22,1485,770,Medium Value
CUST01379,6,2024-02-21,2415,314,Medium Value
CUST01380,6,2024-10-20,3915,72,High Value
CUST01381,2,2023-12-31,850,366,Low Value
CUST01382,2,2024-12-28,1550,3,Medium Value
CUST01383,2,2023-02-04,3950,696,Medium Value
CUST01384,3,2023-06-20,270,560,Medium Value
CUST01385,4,2024-10-18,840,74,Medium Value
CUST01386,2,2022-11-13,1120,779,Low Value
CUST01387,5,2023-09-16,7890,472,High Value
CUST01388,4,2024-12-19,2345,12,Medium Value
CUST01389,3,2024-07-16,230,168,Medium Value
CUST01390,5,2024-12-07,960,24,Medium Value
CUST01391,5,2024-02-04,1730,331,Medium Value
CUST01392,5,2024-11-06,2780,55,High Value
CUST01393,6,2024-12-03,9090,28,High Value
CUST01394,2,2022-03-01,1400,1036,Medium Value
CUST01395,3,2024-08-05,570,148,Medium Value
CUST01396,2,2022-10-25,1050,798,Low Value
CUST01397,4,2024-04-08,3905,267,Medium Value
CUST01398,5,2024-10-15,1560,77,Medium Value
CUST01399,2,2024-09-28,850,94,Low Value
CUST01400,1,2024-04-22,450,253,Low Value
CUST01401,1,2024-07-19,50,165,Low Value
CUST01402,3,2024-10-03,1470,89,Medium Value
CUST01403,5,2023-11-04,675,423,Medium Value
CUST01404,4,2024-07-18,2250,166,Medium Value
CUST01405,4,2024-04-29,2210,246,Medium Value
CUST01406,2,2024-05-31,900,214,Low Value
CUST01407,2,2024-05-31,780,214,Low Value
CUST01408,3,2024-05-08,915,237,Medium Value
CUST01409,7,2024-02-09,1940,326,Medium Value
CUST01410,1,2022-11-20,60,772,Low Value
CUST01411,7,2024-09-02,5280,120,High Value
CUST01412,1,2022-05-31,270,945,Low Value
CUST01413,3,2024-10-04,860,88,Medium Value
CUST01414,1,2022-02-14,175,1051,Low Value
CUST01415,6,2024-01-04,3335,362,High Value
CUST01416,4,2024-08-05,1700,148,Medium Value
CUST01417,7,2024-10-20,1165,72,Medium Value
CUST01418,2,2023-10-27,780,431,Low Value
CUST01419,3,2024-11-18,775,43,Medium Value
CUST01420,5,2024-08-17,1715,136,Medium Value
CUST01421,3,2024-03-15,420,291,Medium Value
CUST01422,2,2023-09-02,200,486,Low Value
CUST01423,1,2023-06-13,220,567,Low Value
CUST01424,2,2024-11-22,240,39,Low Value
CUST01425,3,2023-08-09,3660,510,Medium Value
CUST01426,4,2024-09-01,1560,121,Medium Value
CUST01427,9,2024-10-19,5760,73,High Value
CUST01428,5,2024-11-27,1495,34,Medium Value
CUST01429,2,2024-11-15,2800,46,Medium Value
CUST01430,3,2024-09-30,730,92,Medium Value
CUST01431,4,2024-04-30,375,245,Medium Value
CUST01432,3,2024-11-23,2615,38,Medium Value
CUST01433,3,2024-10-11,375,81,Medium Value
CUST01434,4,2024-10-26,4615,66,Medium Value
CUST01435,3,2023-10-28,705,430,Medium Value
CUST01436,6,2024-10-04,2460,88,Medium Value
CUST01437,7,2024-12-28,2580,3,Medium Value
CUST01438,2,2024-11-13,270,48,Low Value
CUST01439,2,2022-06-11,335,934,Low Value
CUST01440,3,2022-12-27,1480,735,Medium Value
CUST01441,1,2023-09-12,750,476,Low Value
CUST01442,2,2024-01-10,1550,356,Medium Value
CUST01443,4,2024-01-21,1390,345,Medium Value
CUST01444,3,2024-08-30,670,123,Medium Value
CUST01445,4,2023-12-19,840,378,Medium Value
CUST01446,3,2022-11-28,510,764,Medium Value
CUST01447,7,2024-10-18,3940,74,High Value
CUST01448,2,2024-06-02,4100,212,Medium Value
CUST01450,3,2024-08-21,2090,132,Medium Value
CUST01451,2,2024-07-30,440,154,Low Value
CUST01452,4,2024-04-26,3360,249,Medium Value
CUST01453,4,2024-11-28,2410,33,Medium Value
CUST01454,6,2024-11-14,735,47,Medium Value
CUST01456,4,2024-09-07,2670,115,Medium Value
CUST01457,2,2024-10-31,300,61,Low Value
CUST01458,6,2023-12-20,2215,377,Medium Value
CUST01460,4,2024-10-06,545,86,Medium Value
CUST01461,2,2024-09-18,110,104,Low Value
CUST01462,4,2024-05-15,1220,230,Medium Value
CUST01463,2,2024-06-27,1640,187,Medium Value
CUST01464,2,2024-03-06,1775,300,Medium Value
CUST01465,6,2024-12-13,5520,18,High Value
CUST01466,3,2024-12-07,800,24,Medium Value
CUST01467,2,2022-08-06,200,878,Low Value
CUST01468,2,2024-04-19,1050,256,Low Value
CUST01469,1,2022-03-24,45,1013,Low Value
CUST01470,8,2024-11-01,4775,60,High Value
CUST01471,3,2023-09-03,1355,485,Medium Value
CUST01472,5,2024-06-10,1365,204,Medium Value
CUST01473,2,2024-10-23,825,69,Low Value
CUST01474,2,2022-07-02,95,913,Low Value
CUST01475,3,2024-10-05,4180,87,Medium Value
CUST01476,4,2024-09-14,4060,108,Medium Value
CUST01477,1,2022-06-06,450,939,Low Value
CUST01478,5,2024-07-28,1435,156,Medium Value
CUST01479,4,2024-11-05,1690,56,Medium Value
CUST01480,1,2022-12-28,300,734,Low Value
CUST01481,3,2023-05-24,465,587,Medium Value
CUST01482,6,2024-11-13,5860,48,High Value
CUST01483,6,2024-08-03,7520,150,High Value
CUST01484,3,2024-04-10,640,265,Medium Value
CUST01485,5,2024-10-09,2630,83,Medium Value
CUST01486,2,2023-11-09,260,418,Low Value
CUST01487,3,2024-08-02,505,151,Medium Value
CUST01488,3,2024-05-12,815,233,Medium Value
CUST01489,4,2024-02-13,300,322,Medium Value
CUST01490,5,2024-12-10,5650,21,High Value
CUST01491,1,2024-10-01,270,91,Low Value
CUST01492,4,2024-06-18,1050,196,Medium Value
CUST01493,5,2024-10-23,1030,69,Medium Value
CUST01494,4,2023-11-03,580,424,Medium Value
CUST01495,3,2024-07-08,2055,176,Medium Value
CUST01496,1,2023-09-18,125,470,Low Value
CUST01497,2,2024-10-07,70,85,Low Value
CUST01499,2,2024-03-02,345,304,Low Value
CUST01500,6,2024-08-06,4760,147,High Value
CUST01501,3,2024-12-16,445,15,Medium Value
CUST01502,4,2023-09-12,1175,476,Medium Value
CUST01503,4,2024-10-06,1835,86,Medium Value
CUST01504,3,2024-09-22,1770,100,Medium Value
CUST01505,2,2024-10-25,390,67,Low Value
CUST01507,4,2024-11-17,1460,44,Medium Value
CUST01508,4,2024-12-18,815,13,Medium Value
CUST01509,8,2024-07-01,6995,183,High Value
CUST01510,3,2024-11-22,2900,39,Medium Value
CUST01511,3,2024-10-16,390,76,Medium Value
CUST01512,4,2024-03-31,880,275,Medium Value
CUST01513,3,2024-04-18,355,257,Medium Value
CUST01514,5,2024-08-12,1565,141,Medium Value
CUST01515,4,2024-08-23,2705,130,Medium Value
CUST01516,4,2024-06-16,910,198,Medium Value
CUST01517,7,2024-11-25,2170,36,Medium Value
CUST01518,4,2023-03-28,1250,644,Medium Value
CUST01519,4,2024-05-17,3035,228,Medium Value
CUST01520,2,2024-04-25,200,250,Low Value
CUST01521,5,2024-04-15,825,260,Medium Value
CUST01522,2,2024-04-07,2720,268,Medium Value
CUST01523,1,2024-03-18,25,288,Low Value
CUST01524,1,2024-03-16,440,290,Low Value
CUST01525,4,2023-12-09,505,388,Medium Value
CUST01526,6,2024-10-17,3140,75,High Value
CUST01527,3,2023-09-01,2650,487,Medium Value
CUST01528,4,2024-04-17,3005,258,Medium Value
CUST01529,3,2023-12-14,820,383,Medium Value
CUST01530,9,2024-11-03,4155,58,High Value
CUST01531,4,2024-11-20,415,41,Medium Value
CUST01532,1,2024-02-27,70,308,Low Value
CUST01533,1,2023-11-13,350,414,Low Value
CUST01534,2,2024-06-08,525,206,Low Value
CUST01535,2,2024-05-20,1840,225,Medium Value
CUST01536,2,2024-08-18,2240,135,Medium Value
CUST01537,7,2024-09-26,2770,96,High Value
CUST01538,4,2024-01-18,3300,348,Medium Value
CUST01539,4,2024-12-29,2210,2,Medium Value
CUST01540,2,2022-10-13,2425,810,Medium Value
CUST01541,4,2024-08-28,1130,125,Medium Value
CUST01542,3,2023-08-08,1410,511,Medium Value
CUST01543,2,2024-12-23,680,8,Low Value
CUST01544,2,2023-10-14,740,444,Low Value
CUST01545,3,2024-04-07,1195,268,Medium Value
CUST01546,3,2023-11-12,505,415,Medium Value
CUST01547,2,2024-08-28,1605,125,Medium Value
CUST01548,5,2024-11-12,905,49,Medium Value
CUST01549,1,2024-09-03,60,119,Low Value
CUST01550,5,2024-12-19,3165,12,High Value
CUST01551,5,2023-03-11,1250,661,Medium Value
CUST01552,1,2024-09-24,300,98,Low Value
CUST01553,3,2024-11-26,9000,35,Medium Value
CUST01554,4,2024-08-02,525,151,Medium Value
CUST01555,8,2024-11-20,3610,41,High Value
CUST01556,5,2024-07-18,1575,166,Medium Value
CUST01557,5,2024-08-13,2750,140,High Value
CUST01558,5,2023-08-15,2680,504,High Value
CUST01559,3,2024-08-30,1190,123,Medium Value
CUST01562,3,2024-07-31,535,153,Medium Value
CUST01563,2,2023-07-27,400,523,Low Value
CUST01564,4,2024-04-05,770,270,Medium Value
CUST01565,2,2024-04-13,970,262,Low Value
CUST01566,2,2023-11-16,590,411,Low Value
CUST01567,2,2022-11-01,170,791,Low Value
CUST01568,3,2024-07-24,1360,160,Medium Value
CUST01569,3,2024-01-13,330,353,Medium Value
CUST01570,2,2023-12-28,625,369,Low Value
