InvoiceID,CustomerID,InvoiceDate,ProductName,Category,UnitPrice,Quantity,Revenue,Country,Status
INV000043,CUST02653,2023-04-27,Data Science,Books,55,5,0,United Kingdom,Cancelled
INV000044,CUST01335,2022-03-23,Self Help,Books,25,5,125,France,Completed
INV000045,CUST01836,2023-06-19,Blender,Home,60,3,180,USA,Completed
INV000046,CUST02228,2022-09-26,Coffee Maker,Home,80,1,80,France,Completed
INV000047,CUST01300,2022-07-24,Dress,Fashion,110,3,330,Sweden,Completed
INV000048,CUST01281,2023-12-16,Vacuum,Home,350,2,700,Netherlands,Completed
INV000049,CUST03166,2023-09-12,Business Guide,Books,35,1,35,United Kingdom,Completed
INV000050,CUST01472,2023-06-26,Data Science,Books,55,3,165,United Kingdom,Completed
INV000051,CUST02404,2023-03-08,Pillow,Home,35,4,140,Netherlands,Completed
INV000052,CUST01378,2022-04-15,Bicycle,Sports,400,1,400,USA,Completed
INV000053,CUST01535,2023-11-15,Blender,Home,60,4,0,USA,Cancelled
INV000054,CUST03297,2024-05-25,Laptop,Electronics,1200,2,0,United Kingdom,Cancelled
INV000055,CUST02512,2022-03-15,Data Science,Books,55,4,220,Sweden,Completed
INV000056,CUST02262,2022-03-27,Tablet,Electronics,500,2,1000,Germany,Completed
INV000057,CUST02448,2022-07-30,Tennis Racket,Sports,150,2,300,Sweden,Completed
INV000058,CUST01725,2022-11-29,Smartphone,Electronics,800,3,2400,France,Completed
INV000059,CUST02092,2023-05-24,Headphones,Electronics,150,1,150,Netherlands,Completed
INV000060,CUST01817,2023-04-01,Vacuum,Home,350,2,700,France,Completed
INV000061,CUST01791,2022-02-18,Vacuum,Home,350,1,350,France,Completed
INV000062,CUST03086,2023-12-21,Business Guide,Books,35,1,35,France,Completed
INV000063,CUST01731,2023-06-19,Coffee Maker,Home,80,1,0,Sweden,Cancelled
INV000064,CUST02415,2024-06-08,Lamp,Home,45,5,0,USA,Cancelled
INV000065,CUST02577,2022-08-25,Jacket,Fashion,120,1,120,Sweden,Completed
INV000066,CUST03129,2022-01-04,Jacket,Fashion,120,4,480,Sweden,Completed
INV000067,CUST02285,2023-11-08,Tablet,Electronics,500,5,2500,USA,Completed
INV000068,CUST02336,2024-04-16,Pillow,Home,35,2,70,France,Completed
INV000069,CUST02552,2024-05-11,Dress,Fashion,110,5,550,USA,Completed
INV000070,CUST03244,2024-04-11,Vacuum,Home,350,2,700,United Kingdom,Completed
INV000071,CUST02904,2023-10-22,Running Shoes,Sports,110,5,550,France,Completed
INV000072,CUST01347,2022-12-14,Self Help,Books,25,3,75,Germany,Completed
INV000073,CUST02271,2023-04-27,Jeans,Fashion,60,1,60,Netherlands,Completed
INV000074,CUST02946,2023-05-17,Headphones,Electronics,150,4,0,Sweden,Cancelled
INV000075,CUST02572,2023-02-03,Running Shoes,Sports,110,2,220,France,Completed
INV000076,CUST02741,2022-08-07,Dress,Fashion,110,4,440,Netherlands,Completed
INV000077,CUST01497,2023-05-26,Shoes,Fashion,90,5,0,France,Cancelled
INV000078,CUST02812,2023-10-12,Fiction Novel,Books,20,5,100,Sweden,Completed
INV000079,CUST02944,2022-11-22,Blender,Home,60,3,0,France,Cancelled
INV000080,CUST01979,2024-09-19,Yoga Mat,Sports,30,3,90,Germany,Completed
INV000081,CUST02375,2023-07-11,Python Book,Books,45,2,90,Germany,Completed
INV000082,CUST02568,2023-04-19,Jeans,Fashion,60,1,60,USA,Completed
INV000083,CUST02355,2024-04-14,Dumbbells,Sports,50,1,50,Sweden,Completed
INV000084,CUST02595,2024-05-10,Smart Watch,Electronics,300,4,1200,Sweden,Completed
INV000085,CUST02440,2022-01-13,Dumbbells,Sports,50,5,0,Germany,Cancelled
INV000086,CUST02999,2023-03-28,Lamp,Home,45,4,180,Netherlands,Completed
INV000087,CUST02376,2024-03-07,Running Shoes,Sports,110,4,440,USA,Completed
INV000088,CUST01110,2024-12-29,Self Help,Books,25,1,25,France,Completed
INV000089,CUST01555,2024-05-27,T-Shirt,Fashion,25,3,75,France,Completed
INV000090,CUST01866,2023-11-02,Vacuum,Home,350,4,1400,France,Completed
INV000091,CUST02033,2024-05-13,Yoga Mat,Sports,30,5,150,United Kingdom,Completed
INV000092,CUST01918,2023-12-18,Laptop,Electronics,1200,1,1200,USA,Completed
INV000093,CUST01083,2023-02-13,Jeans,Fashion,60,2,120,Sweden,Completed
INV000094,CUST03310,2022-08-23,Bicycle,Sports,400,3,1200,Netherlands,Completed
INV000095,CUST01670,2022-08-23,Smart Watch,Electronics,300,1,300,Germany,Completed
INV000096,CUST02624,2024-02-08,T-Shirt,Fashion,25,5,125,USA,Completed
INV000097,CUST02235,2022-07-28,Python Book,Books,45,5,225,USA,Completed
INV000098,CUST03182,2023-12-13,Coffee Maker,Home,80,5,400,France,Completed
INV000099,CUST02720,2022-01-26,Headphones,Electronics,150,3,450,France,Completed
INV000100,CUST02783,2022-11-10,Business Guide,Books,35,5,0,Netherlands,Cancelled
INV000101,CUST02904,2024-09-17,Business Guide,Books,35,3,105,France,Completed
INV000102,CUST02142,2022-06-27,Shoes,Fashion,90,5,0,France,Cancelled
INV000103,CUST02377,2024-02-16,Bicycle,Sports,400,2,800,United Kingdom,Completed
INV000104,CUST02453,2023-03-11,Vacuum,Home,350,5,1750,Germany,Completed
INV000105,CUST03116,2022-01-21,Smartphone,Electronics,800,4,3200,Netherlands,Completed
INV000106,CUST02950,2023-05-08,Dumbbells,Sports,50,1,50,USA,Completed
INV000107,CUST01907,2023-08-26,Jacket,Fashion,120,5,600,France,Completed
INV000108,CUST03267,2024-08-27,Lamp,Home,45,5,225,Sweden,Completed
INV000109,CUST02858,2023-12-22,Vacuum,Home,350,2,700,Germany,Completed
INV000110,CUST02292,2023-01-30,Data Science,Books,55,2,110,United Kingdom,Completed
INV000111,CUST02132,2024-09-18,Self Help,Books,25,5,125,USA,Completed
INV000112,CUST01795,2022-07-25,Jacket,Fashion,120,2,240,Germany,Completed
INV000113,CUST03187,2022-01-29,Coffee Maker,Home,80,1,0,Netherlands,Cancelled
INV000114,CUST01517,2023-08-22,Yoga Mat,Sports,30,1,0,USA,Cancelled
INV000115,CUST02922,2023-08-06,Bicycle,Sports,400,2,800,France,Completed
INV000116,CUST02956,2023-06-02,Headphones,Electronics,150,4,600,United Kingdom,Completed
INV000117,CUST01621,2022-04-20,Business Guide,Books,35,1,35,Netherlands,Completed
INV000118,CUST03285,2022-08-31,Self Help,Books,25,5,125,France,Completed
INV000119,CUST02558,2024-12-06,Bicycle,Sports,400,5,2000,France,Completed
INV000120,CUST03329,2023-09-18,Smart Watch,Electronics,300,1,300,Sweden,Completed
INV000121,CUST02083,2023-03-09,Smartphone,Electronics,800,2,1600,USA,Completed
INV000122,CUST01641,2022-06-03,Dumbbells,Sports,50,5,250,United Kingdom,Completed
INV000123,CUST01133,2023-08-20,Vacuum,Home,350,4,1400,Netherlands,Completed
INV000124,CUST02083,2023-04-24,Data Science,Books,55,4,220,USA,Completed
INV000125,CUST01610,2023-04-06,T-Shirt,Fashion,25,1,25,Germany,Completed
INV000126,CUST03437,2023-09-22,Business Guide,Books,35,4,140,USA,Completed
INV000127,CUST02245,2024-08-17,Bicycle,Sports,400,5,0,USA,Cancelled
INV000128,CUST02793,2024-10-08,Python Book,Books,45,4,180,United Kingdom,Completed
INV000129,CUST01105,2023-05-28,Dress,Fashion,110,5,550,United Kingdom,Completed
INV000130,CUST03360,2023-07-06,Shoes,Fashion,90,5,450,United Kingdom,Completed
INV000131,CUST01743,2023-07-24,Dumbbells,Sports,50,1,50,Sweden,Completed
INV000132,CUST02672,2023-12-14,Coffee Maker,Home,80,2,160,Germany,Completed
INV000133,CUST03029,2024-04-23,Tennis Racket,Sports,150,1,150,Germany,Completed
INV000134,CUST02288,2022-06-30,Coffee Maker,Home,80,4,0,Germany,Cancelled
INV000135,CUST03222,2022-01-03,Yoga Mat,Sports,30,2,0,France,Cancelled
INV000136,CUST03041,2024-01-11,Yoga Mat,Sports,30,2,60,USA,Completed
INV000137,CUST02179,2022-09-26,Yoga Mat,Sports,30,1,0,France,Cancelled
INV000138,CUST01648,2023-05-06,Python Book,Books,45,5,225,Germany,Completed
INV000139,CUST01920,2022-07-10,Yoga Mat,Sports,30,2,60,United Kingdom,Completed
INV000140,CUST03084,2023-08-21,Lamp,Home,45,4,180,USA,Completed
INV000141,CUST02870,2023-05-15,Shoes,Fashion,90,2,0,Sweden,Cancelled
INV000142,CUST01559,2024-11-06,Lamp,Home,45,3,0,United Kingdom,Cancelled
INV000143,CUST01010,2023-07-02,Pillow,Home,35,5,175,Germany,Completed
INV000144,CUST02829,2022-11-01,Bicycle,Sports,400,3,0,Sweden,Cancelled
INV000145,CUST02865,2024-02-12,Jeans,Fashion,60,5,300,Germany,Completed
INV000146,CUST02682,2023-04-24,Lamp,Home,45,4,180,United Kingdom,Completed
INV000147,CUST03028,2022-11-08,Dress,Fashion,110,5,550,United Kingdom,Completed
INV000148,CUST02803,2022-07-25,Fiction Novel,Books,20,1,20,United Kingdom,Completed
INV000149,CUST01632,2024-04-19,Bicycle,Sports,400,3,0,United Kingdom,Cancelled
INV000150,CUST01328,2024-03-25,Fiction Novel,Books,20,3,60,Germany,Completed
INV000151,CUST01280,2022-03-15,Blender,Home,60,1,60,Netherlands,Completed
INV000152,CUST01411,2022-07-21,Jacket,Fashion,120,1,120,France,Completed
INV000153,CUST01229,2023-10-27,Vacuum,Home,350,4,1400,Germany,Completed
INV000154,CUST03175,2023-05-16,Data Science,Books,55,2,110,France,Completed
INV000155,CUST03496,2022-06-11,Data Science,Books,55,4,0,France,Cancelled
INV000156,CUST01951,2022-10-21,Lamp,Home,45,3,135,France,Completed
INV000157,CUST02178,2024-08-10,Data Science,Books,55,1,55,USA,Completed
INV000158,CUST03406,2023-12-09,Bicycle,Sports,400,4,1600,Germany,Completed
INV000159,CUST02575,2023-02-12,Smartphone,Electronics,800,4,0,France,Cancelled
INV000160,CUST03354,2024-01-06,Coffee Maker,Home,80,4,320,Germany,Completed
INV000161,CUST03318,2022-01-17,Smart Watch,Electronics,300,4,1200,USA,Completed
INV000162,CUST03486,2023-04-17,Jeans,Fashion,60,5,300,Germany,Completed
INV000163,CUST01397,2022-10-08,Tablet,Electronics,500,4,2000,USA,Completed
INV000164,CUST01538,2024-01-18,Vacuum,Home,350,4,1400,United Kingdom,Completed
INV000165,CUST01541,2023-02-16,Pillow,Home,35,5,175,Sweden,Completed
INV000166,CUST02052,2022-12-03,Vacuum,Home,350,1,350,France,Completed
INV000167,CUST01576,2022-06-04,Tennis Racket,Sports,150,3,450,Netherlands,Completed
INV000168,CUST01057,2024-03-19,Python Book,Books,45,4,180,Germany,Completed
INV000169,CUST03394,2023-06-21,Coffee Maker,Home,80,2,160,France,Completed
INV000170,CUST03299,2022-02-21,Data Science,Books,55,1,55,Germany,Completed
INV000171,CUST02672,2023-09-11,T-Shirt,Fashion,25,1,25,United Kingdom,Completed
INV000172,CUST01475,2024-10-05,Dress,Fashion,110,2,220,United Kingdom,Completed
INV000173,CUST02519,2024-07-18,Fiction Novel,Books,20,5,100,USA,Completed
INV000174,CUST01405,2024-04-29,Fiction Novel,Books,20,3,60,France,Completed
INV000175,CUST01889,2024-01-29,Running Shoes,Sports,110,3,330,France,Completed
INV000176,CUST03230,2024-01-23,Coffee Maker,Home,80,4,320,USA,Completed
INV000177,CUST01500,2023-01-24,Smartphone,Electronics,800,5,4000,France,Completed
INV000178,CUST02366,2022-04-14,Dress,Fashion,110,2,220,Netherlands,Completed
INV000179,CUST03401,2023-03-01,Jacket,Fashion,120,2,0,Netherlands,Cancelled
INV000180,CUST02135,2022-01-06,Dress,Fashion,110,3,330,Netherlands,Completed
INV000181,CUST01105,2022-08-14,Tablet,Electronics,500,2,0,Netherlands,Cancelled
INV000182,CUST01064,2023-10-26,Coffee Maker,Home,80,2,160,Netherlands,Completed
INV000183,CUST01465,2024-12-13,Headphones,Electronics,150,4,600,USA,Completed
INV000184,CUST03431,2024-11-17,Tennis Racket,Sports,150,2,0,United Kingdom,Cancelled
INV000185,CUST03135,2022-03-30,Yoga Mat,Sports,30,1,30,Germany,Completed
INV000186,CUST02746,2024-04-02,Headphones,Electronics,150,4,600,USA,Completed
INV000187,CUST02319,2022-06-15,T-Shirt,Fashion,25,2,50,Sweden,Completed
INV000188,CUST02560,2023-10-28,Business Guide,Books,35,4,0,Sweden,Cancelled
INV000189,CUST01406,2024-05-31,Smart Watch,Electronics,300,2,600,USA,Completed
INV000190,CUST01935,2024-07-13,Lamp,Home,45,4,180,France,Completed
INV000191,CUST02280,2022-07-14,Vacuum,Home,350,3,1050,France,Completed
INV000192,CUST01274,2024-08-29,Laptop,Electronics,1200,4,4800,United Kingdom,Completed
INV000193,CUST01532,2024-02-03,Smart Watch,Electronics,300,5,0,Sweden,Cancelled
INV000194,CUST01500,2023-11-07,Lamp,Home,45,1,45,France,Completed
INV000195,CUST02440,2023-10-02,Self Help,Books,25,2,50,United Kingdom,Completed
INV000196,CUST01918,2024-09-14,Pillow,Home,35,3,105,United Kingdom,Completed
INV000197,CUST03351,2023-07-25,Tennis Racket,Sports,150,5,0,Netherlands,Cancelled
INV000198,CUST03494,2022-02-23,Coffee Maker,Home,80,2,160,USA,Completed
INV000199,CUST02391,2023-09-25,Smartphone,Electronics,800,2,0,Germany,Cancelled
INV000200,CUST01285,2024-03-31,Laptop,Electronics,1200,5,6000,Netherlands,Completed
INV000201,CUST02719,2024-02-10,Blender,Home,60,3,180,France,Completed
INV000202,CUST03324,2023-10-27,Laptop,Electronics,1200,2,2400,Sweden,Completed
INV000203,CUST01334,2022-04-12,Dumbbells,Sports,50,4,0,Germany,Cancelled
INV000204,CUST02696,2024-06-24,Dress,Fashion,110,1,110,Germany,Completed
INV000205,CUST01454,2024-05-30,Fiction Novel,Books,20,5,100,Germany,Completed
INV000206,CUST01903,2022-04-04,Python Book,Books,45,1,45,France,Completed
INV000207,CUST01865,2023-09-10,Vacuum,Home,350,3,1050,Netherlands,Completed
INV000208,CUST03037,2022-01-16,Running Shoes,Sports,110,2,220,USA,Completed
INV000209,CUST01942,2024-12-26,Business Guide,Books,35,1,35,Sweden,Completed
INV000210,CUST02786,2022-03-28,Yoga Mat,Sports,30,3,0,United Kingdom,Cancelled
INV000211,CUST03348,2024-05-29,Bicycle,Sports,400,1,400,France,Completed
INV000212,CUST02330,2022-02-12,Fiction Novel,Books,20,3,60,Netherlands,Completed
INV000213,CUST01433,2024-06-13,Tennis Racket,Sports,150,4,0,Netherlands,Cancelled
INV000214,CUST02621,2022-06-11,Blender,Home,60,3,180,Germany,Completed
INV000215,CUST03090,2022-06-06,Smart Watch,Electronics,300,5,1500,USA,Completed
INV000216,CUST02438,2023-12-17,Jeans,Fashion,60,1,60,USA,Completed
INV000217,CUST01808,2023-06-09,Data Science,Books,55,1,55,Netherlands,Completed
INV000218,CUST02900,2024-10-08,Fiction Novel,Books,20,5,0,Sweden,Cancelled
INV000219,CUST02294,2023-10-24,Yoga Mat,Sports,30,4,120,Netherlands,Completed
INV000220,CUST02125,2023-09-13,Tablet,Electronics,500,5,2500,Sweden,Completed
INV000221,CUST02891,2023-09-28,Laptop,Electronics,1200,3,3600,France,Completed
INV000222,CUST01369,2022-06-07,Self Help,Books,25,4,100,Sweden,Completed
INV000223,CUST02842,2022-03-26,Jacket,Fashion,120,5,600,Sweden,Completed
INV000224,CUST01617,2024-10-23,Yoga Mat,Sports,30,3,90,United Kingdom,Completed
INV000225,CUST01706,2024-10-30,Shoes,Fashion,90,4,0,United Kingdom,Cancelled
INV000226,CUST03497,2024-12-06,Vacuum,Home,350,3,1050,Netherlands,Completed
INV000227,CUST02385,2024-04-17,Python Book,Books,45,3,135,USA,Completed
INV000228,CUST01387,2023-11-07,Bicycle,Sports,400,3,0,Sweden,Cancelled
INV000229,CUST02365,2022-11-04,Data Science,Books,55,3,165,United Kingdom,Completed
INV000230,CUST01528,2024-03-13,Tablet,Electronics,500,5,2500,Sweden,Completed
INV000231,CUST01523,2023-11-04,Python Book,Books,45,4,0,USA,Cancelled
INV000232,CUST01074,2024-01-12,Blender,Home,60,2,120,Germany,Completed
INV000233,CUST01786,2024-09-22,Jeans,Fashion,60,1,60,Netherlands,Completed
INV000234,CUST03079,2022-07-27,Python Book,Books,45,3,0,Sweden,Cancelled
INV000235,CUST03446,2022-09-26,Jeans,Fashion,60,2,0,France,Cancelled
INV000236,CUST02792,2022-12-06,Bicycle,Sports,400,2,800,United Kingdom,Completed
INV000237,CUST02838,2023-08-07,Data Science,Books,55,3,165,Netherlands,Completed
INV000238,CUST02506,2023-02-02,Fiction Novel,Books,20,4,80,USA,Completed
INV000239,CUST03059,2024-02-22,Running Shoes,Sports,110,2,0,Sweden,Cancelled
INV000240,CUST02024,2022-10-11,Bicycle,Sports,400,5,2000,United Kingdom,Completed
INV000241,CUST01510,2024-11-22,Smartphone,Electronics,800,3,2400,Germany,Completed
INV000242,CUST01603,2024-11-17,Smartphone,Electronics,800,4,3200,France,Completed
INV000243,CUST02699,2022-02-24,Tennis Racket,Sports,150,3,450,United Kingdom,Completed
INV000244,CUST01334,2024-03-01,T-Shirt,Fashion,25,3,75,Germany,Completed
INV000245,CUST01598,2023-11-18,Tablet,Electronics,500,4,2000,Netherlands,Completed
INV000246,CUST02837,2024-08-18,Laptop,Electronics,1200,1,1200,Sweden,Completed
INV000247,CUST01612,2023-03-18,Self Help,Books,25,4,100,Sweden,Completed
INV000248,CUST01973,2023-08-14,Laptop,Electronics,1200,2,2400,Germany,Completed
INV000249,CUST01257,2024-07-25,Tennis Racket,Sports,150,5,750,United Kingdom,Completed
INV000250,CUST03355,2024-11-21,Jacket,Fashion,120,4,480,Netherlands,Completed
INV000251,CUST01985,2023-12-24,Running Shoes,Sports,110,1,0,Sweden,Cancelled
INV000252,CUST01277,2024-01-09,Self Help,Books,25,5,0,Sweden,Cancelled
INV000253,CUST02599,2022-02-11,Headphones,Electronics,150,3,450,France,Completed
INV000254,CUST02462,2022-02-03,Blender,Home,60,1,0,United Kingdom,Cancelled
INV000255,CUST01546,2023-11-12,Pillow,Home,35,3,105,United Kingdom,Completed
INV000256,CUST02960,2024-08-09,Jeans,Fashion,60,1,60,USA,Completed
INV000257,CUST02201,2022-03-17,Smartphone,Electronics,800,1,800,Netherlands,Completed
INV000258,CUST03111,2023-09-28,Fiction Novel,Books,20,3,60,France,Completed
INV000259,CUST02171,2023-01-27,Tablet,Electronics,500,3,1500,Germany,Completed
INV000260,CUST02789,2024-01-24,Dumbbells,Sports,50,3,150,France,Completed
INV000261,CUST03037,2024-10-13,Business Guide,Books,35,1,35,Germany,Completed
INV000262,CUST02763,2022-06-11,Dress,Fashion,110,3,330,Sweden,Completed
INV000263,CUST01327,2022-07-30,Vacuum,Home,350,4,0,Germany,Cancelled
INV000264,CUST01682,2024-05-22,Bicycle,Sports,400,4,1600,USA,Completed
INV000265,CUST02781,2023-12-24,Laptop,Electronics,1200,4,4800,Germany,Completed
INV000266,CUST01655,2024-11-16,Dress,Fashion,110,4,440,United Kingdom,Completed
INV000267,CUST01275,2022-09-16,Vacuum,Home,350,4,0,Netherlands,Cancelled
INV000268,CUST03478,2022-03-08,Bicycle,Sports,400,3,1200,Netherlands,Completed
INV000269,CUST03350,2022-06-07,Business Guide,Books,35,4,140,Netherlands,Completed
INV000270,CUST02022,2023-07-25,Smartphone,Electronics,800,4,0,United Kingdom,Cancelled
INV000271,CUST03300,2024-03-03,Vacuum,Home,350,4,1400,United Kingdom,Completed
INV000272,CUST03011,2023-08-08,Smartphone,Electronics,800,1,800,Netherlands,Completed
INV000273,CUST02823,2022-12-20,Vacuum,Home,350,1,0,United Kingdom,Cancelled
INV000274,CUST02228,2023-08-18,Jacket,Fashion,120,5,600,Netherlands,Completed
INV000275,CUST01823,2022-09-06,Shoes,Fashion,90,1,90,Netherlands,Completed
INV000276,CUST02914,2024-01-26,Dress,Fashion,110,1,110,Sweden,Completed
INV000277,CUST02630,2023-09-26,Tennis Racket,Sports,150,4,600,USA,Completed
INV000278,CUST01513,2022-06-01,Headphones,Electronics,150,4,0,Germany,Cancelled
INV000279,CUST01525,2023-12-07,Data Science,Books,55,2,110,Sweden,Completed
INV000280,CUST01226,2024-10-26,Data Science,Books,55,3,165,United Kingdom,Completed
INV000281,CUST02321,2022-11-28,Jacket,Fashion,120,5,600,USA,Completed
INV000282,CUST02026,2022-06-11,Business Guide,Books,35,2,70,Netherlands,Completed
INV000283,CUST01382,2024-12-28,Dress,Fashion,110,5,550,Sweden,Completed
INV000284,CUST03478,2022-12-17,Python Book,Books,45,1,45,Germany,Completed
INV000285,CUST03362,2022-04-04,Dress,Fashion,110,4,0,Germany,Cancelled
INV000286,CUST03039,2022-03-04,Business Guide,Books,35,3,105,USA,Completed
INV000287,CUST02663,2023-05-17,Yoga Mat,Sports,30,1,30,Germany,Completed
INV000288,CUST02702,2024-06-19,Running Shoes,Sports,110,3,0,France,Cancelled
INV000289,CUST02280,2022-10-22,Vacuum,Home,350,4,1400,USA,Completed
INV000290,CUST03109,2024-01-29,Tablet,Electronics,500,2,1000,Sweden,Completed
INV000291,CUST02095,2022-09-08,Jeans,Fashion,60,1,60,France,Completed
INV000292,CUST02573,2023-08-18,Running Shoes,Sports,110,2,220,Sweden,Completed
INV000293,CUST01777,2023-10-03,Tennis Racket,Sports,150,4,600,Netherlands,Completed
INV000294,CUST03037,2023-09-24,Headphones,Electronics,150,5,750,United Kingdom,Completed
INV000295,CUST01881,2023-05-09,Coffee Maker,Home,80,1,80,Sweden,Completed
INV000296,CUST03447,2024-10-10,Bicycle,Sports,400,5,2000,USA,Completed
INV000297,CUST02765,2022-08-09,Vacuum,Home,350,4,1400,Netherlands,Completed
INV000298,CUST02640,2022-04-03,Self Help,Books,25,2,50,United Kingdom,Completed
INV000299,CUST01301,2023-08-15,Fiction Novel,Books,20,5,100,France,Completed
INV000300,CUST01527,2022-09-01,Bicycle,Sports,400,3,0,United Kingdom,Cancelled
INV000301,CUST01590,2024-01-19,Self Help,Books,25,4,0,Netherlands,Cancelled
INV000302,CUST01185,2022-03-24,Jacket,Fashion,120,4,0,United Kingdom,Cancelled
INV000303,CUST01610,2024-07-24,Data Science,Books,55,3,0,Sweden,Cancelled
INV000304,CUST01665,2023-10-15,Business Guide,Books,35,5,175,France,Completed
INV000305,CUST03087,2024-11-04,Tennis Racket,Sports,150,3,450,Sweden,Completed
INV000306,CUST02508,2022-02-04,Headphones,Electronics,150,5,750,Germany,Completed
INV000307,CUST03444,2022-02-24,Pillow,Home,35,5,175,France,Completed
INV000308,CUST03390,2022-04-16,Dress,Fashion,110,5,550,France,Completed
INV000309,CUST01992,2022-10-30,Python Book,Books,45,2,90,United Kingdom,Completed
INV000310,CUST02284,2024-06-22,Shoes,Fashion,90,2,180,France,Completed
INV000311,CUST02931,2024-10-24,Smartphone,Electronics,800,5,4000,USA,Completed
INV000312,CUST02959,2023-10-28,Bicycle,Sports,400,2,800,Sweden,Completed
INV000313,CUST02402,2024-12-27,Vacuum,Home,350,5,1750,Sweden,Completed
INV000314,CUST02009,2023-01-29,Business Guide,Books,35,2,70,Germany,Completed
INV000315,CUST01849,2023-08-15,Bicycle,Sports,400,4,1600,USA,Completed
INV000316,CUST02178,2023-07-15,Self Help,Books,25,4,100,United Kingdom,Completed
INV000317,CUST01599,2023-12-08,Tablet,Electronics,500,1,500,Germany,Completed
INV000318,CUST02050,2024-06-24,Running Shoes,Sports,110,2,0,USA,Cancelled
INV000319,CUST03302,2023-07-10,Blender,Home,60,1,0,USA,Cancelled
INV000320,CUST01993,2023-05-06,Data Science,Books,55,2,110,United Kingdom,Completed
INV000321,CUST02692,2022-07-25,Yoga Mat,Sports,30,2,60,Germany,Completed
INV000322,CUST02666,2022-11-20,Dumbbells,Sports,50,2,100,USA,Completed
INV000323,CUST02169,2023-10-20,Laptop,Electronics,1200,5,6000,USA,Completed
